"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","1","...","All industry total",2740,3098,3448,4057,3972,4466,4587,5034,5190,5400,5281,4996,4709,4733
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","34","42","  Wholesale trade","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","35","44-45","  Retail trade",94.641,95.957,97.140,96.944,97.564,103.408,101.236,100.559,100.000,105.948,110.007,115.503,119.419,124.090
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","36","48-49","  Transportation and warehousing","(D)","(D)",90.478,98.624,99.665,"(D)","(D)","(D)",100.000,106.861,"(D)",91.696,73.709,63.111
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","37","481","   Air transportation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","38","482","   Rail transportation",113.950,105.892,112.449,120.310,132.899,138.300,132.737,130.058,100.000,97.878,90.425,126.811,125.967,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","39","483","   Water transportation",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","40","484","   Truck transportation",98.978,112.538,122.503,134.825,128.166,115.667,117.599,113.265,100.000,112.525,125.406,135.566,116.244,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","41","485","   Transit and ground passenger transportation",85.395,74.814,74.972,78.272,87.316,74.090,75.514,80.041,100.000,98.975,104.595,98.049,65.009,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","42","486","   Pipeline transportation",5.771,56.451,119.983,202.582,119.466,102.350,132.470,148.657,100.000,106.221,103.079,51.553,49.813,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","43","487-488, 492","   Other transportation and support activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","44","493","   Warehousing and storage","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","45","51","  Information",50.623,66.509,69.298,78.172,83.652,88.228,96.261,104.135,100.000,96.426,89.032,80.974,73.546,69.195
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","46","511","   Publishing industries, except Internet (includes software)","(D)","(D)","(D)","(D)",76.672,"(D)",99.694,109.000,100.000,90.470,70.932,61.774,58.729,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","47","512","   Motion picture and sound recording industries",36.443,41.637,64.655,109.189,85.676,79.007,62.727,87.352,100.000,135.622,167.514,166.544,133.023,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","48","515, 517","   Broadcasting and telecommunications","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","49","518, 519","   Data processing, internet publishing, and other information services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing",79.745,85.125,86.451,80.638,84.008,91.104,101.085,101.730,100.000,92.765,90.670,95.555,95.403,90.986
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","51","52","   Finance and insurance",77.741,82.047,84.006,84.135,90.219,91.541,96.372,86.048,100.000,96.576,100.575,102.509,108.565,109.836
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","52","521-522","    Federal Reserve banks, credit intermediation, and related services",63.877,76.622,74.832,68.756,68.662,72.236,76.847,76.082,100.000,95.014,100.737,102.218,105.607,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","53","523","    Securities, commodity contracts, and investments","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","54","524","    Insurance carriers and related activities",72.356,67.451,92.153,105.757,113.800,105.714,118.399,106.172,100.000,91.133,91.515,87.866,93.886,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","55","525","    Funds, trusts, and other financial vehicles","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","56","53","   Real estate and rental and leasing",80.023,85.618,86.810,79.760,82.553,90.844,101.877,104.776,100.000,92.052,88.783,94.250,92.863,87.306
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","57","531","    Real estate",70.158,79.137,83.858,78.856,82.676,90.522,103.157,103.350,100.000,91.281,88.784,96.020,93.988,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","58","532-533","    Rental and leasing services and lessors of intangible assets",194.106,160.701,120.733,90.025,80.996,94.381,86.981,120.670,100.000,100.537,88.776,74.706,80.521,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","59","54, 55, 56","  Professional and business services",67.087,69.265,68.584,75.687,76.456,88.767,86.922,98.514,100.000,104.414,108.593,122.243,119.332,116.552
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","60","54","   Professional, scientific, and technical services",80.085,82.613,81.998,86.675,84.071,87.938,87.735,101.503,100.000,98.677,100.491,115.428,120.805,125.023
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","64","55","   Management of companies and enterprises","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","65","56","   Administrative and waste management services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","66","561","    Administrative and support services","(D)","(D)","(D)","(D)","(D)",81.515,80.774,96.102,100.000,114.377,132.552,138.908,135.640,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","67","562","    Waste management and remediation services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","68","61, 62","  Educational services, health care, and social assistance",71.919,76.708,80.020,82.578,84.998,88.526,90.999,97.412,100.000,102.975,104.880,105.341,106.507,109.373
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","69","61","   Educational services",101.916,95.054,93.862,104.440,108.984,105.263,93.954,88.853,100.000,104.941,107.978,115.626,120.024,126.995
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","70","62","   Health care and social assistance",70.792,76.003,79.479,81.739,84.079,87.883,90.887,97.749,100.000,102.897,104.757,104.927,105.959,108.654
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","71","621","    Ambulatory health care services",84.150,83.435,83.409,86.616,86.934,93.563,92.604,99.618,100.000,99.301,100.114,103.001,104.433,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","72","622-623","    Hospitals and nursing and residential care facilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","73","624","    Social assistance","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","74","71, 72","  Arts, entertainment, recreation, accommodation, and food services",91.980,95.241,102.553,108.059,106.634,106.993,110.186,105.586,100.000,106.106,108.227,112.550,109.206,115.447
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","75","71","   Arts, entertainment, and recreation",93.956,97.778,100.056,99.469,101.565,97.722,116.233,107.856,100.000,113.028,113.406,118.593,108.979,107.021
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","76","711-712","    Performing arts, spectator sports, museums, and related activities",80.614,91.496,101.297,104.821,109.859,109.508,119.880,112.235,100.000,102.751,102.731,103.219,104.480,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","77","713","    Amusements, gambling, and recreation industries",98.848,99.966,99.349,97.153,98.054,92.771,114.670,105.983,100.000,117.463,118.015,125.251,110.924,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","78","72","   Accommodation and food services",91.477,94.594,103.195,110.270,107.945,109.369,108.691,105.035,100.000,104.465,106.998,111.117,109.235,117.365
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","79","721","    Accommodation",73.141,92.572,91.466,102.245,102.924,108.796,98.801,99.148,100.000,102.451,106.133,111.648,110.312,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","80","722","    Food services and drinking places",94.624,94.900,105.145,111.595,108.758,109.411,110.362,106.009,100.000,104.780,107.133,111.030,109.063,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","81","81","  Other services, except government",105.316,98.082,94.711,98.591,101.138,102.046,104.910,107.056,100.000,96.235,96.303,100.799,103.850,103.910
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","82","92"," Government",98.334,99.004,102.187,101.287,100.178,98.124,93.303,96.081,100.000,89.207,94.446,96.182,97.967,99.798
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","83","...","  Federal civilian",117.582,131.112,129.409,116.749,108.619,119.040,100.401,95.472,100.000,108.280,114.567,112.616,101.814,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","84","...","  Federal military",72.197,77.170,92.566,102.064,108.682,103.117,95.309,93.040,100.000,99.989,94.804,87.485,84.011,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","85","...","  State and local",97.214,96.603,99.917,99.837,99.175,96.054,92.594,96.218,100.000,87.194,92.614,94.923,97.979,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","86","11, 21","Natural resources and mining",147.220,"(D)",149.691,138.860,128.244,"(D)",109.597,99.170,100.000,80.956,90.415,92.492,99.295,84.865
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","87","42, 44-45","Trade","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","88","...","Transportation and utilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","89","...","Private goods-producing industries",23.002,30.486,39.696,56.641,55.279,70.666,77.477,94.368,100.000,112.079,107.921,91.332,77.317,75.721
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","800","Quantity indexes for real GDP by metropolitan area","90","...","Private services-providing industries",76.729,81.022,82.324,84.217,86.997,93.276,96.798,101.309,100.000,100.867,100.246,105.150,104.019,103.549
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","1","...","All industry total",2383,2728,3099,3702,3688,4243,4461,5027,5190,5429,5358,5037,4680,4649
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","2","..."," Private industries",1669,1980,2305,2876,2870,3418,3667,4204,4334,4668,4549,4208,3829,3780
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)","(D)","(D)","(D)",70,71,57,64,65,70,59
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","4","111-112","   Farms",67,74,68,61,56,67,39,34,39,23,21,19,21,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","5","113-115","   Forestry, fishing, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)",37,32,35,45,49,53,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","6","21","  Mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2,2,2,2,2,2,3
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","7","211","   Oil and gas extraction","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","8","212","   Mining, except oil and gas","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2,2,2,2,2,2,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","9","213","   Support activities for mining","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","10","22","  Utilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","11","23","  Construction",96,89,91,94,98,94,102,101,84,75,74,77,76,68
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","12","31-33","  Manufacturing",475,658,888,1322,1290,1677,1879,2337,2503,2849,2730,2278,1896,1876
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","13","...","   Durable goods manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2703,2250,1868,1848
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","14","321","    Wood products manufacturing",26,26,26,24,23,21,23,20,13,18,23,23,24,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","15","327","    Nonmetallic mineral products manufacturing",13,11,"(D)","(D)","(D)","(D)",17,17,12,15,24,17,17,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","16","331","    Primary metals manufacturing","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","17","332","    Fabricated metal products",1,1,2,3,4,4,5,3,2,2,3,3,5,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","18","333","    Machinery manufacturing","(D)","(D)",21,34,37,45,47,47,27,25,36,18,22,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","19","334","    Computer and electronic products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2171,1781,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","20","335","    Electrical equipment, appliance, and components manufacturing","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","21","3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","22","3364-3366, 3369","    Other transportation equipment manufacturing","(D)","(D)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(D)","(D)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","23","337","    Furniture and related products manufacturing",2,2,2,7,7,7,7,6,4,4,4,4,2,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","24","339","    Miscellaneous manufacturing",9,9,7,8,8,8,10,11,11,12,11,12,13,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","25","...","   Nondurable goods manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",27,27,27,28
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","26","311-312","    Food and beverage and tobacco products manufacturing","(D)",8,7,7,10,11,10,8,10,9,9,12,13,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","27","313-314","    Textile mills and textile product mills","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(L)","(L)","(L)","(L)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","28","315-316","    Apparel and leather and allied products manufacturing","(L)","(L)","(L)","(L)","(D)","(D)","(D)","(D)","(D)",1,"(L)","(L)","(D)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","29","322","    Paper products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","30","323","    Printing and related support activities",4,3,2,2,3,4,1,3,3,3,3,3,3,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","31","324","    Petroleum and coal products manufacturing","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","32","325","    Chemical products manufacturing",3,1,1,"(D)",2,3,"(D)","(D)","(D)",3,3,3,"(D)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","33","326","    Plastics and rubber products manufacturing",10,11,"(D)","(D)","(D)",9,9,8,9,5,"(D)","(D)","(D)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","34","42","  Wholesale trade",72,"(D)","(D)","(D)","(D)","(D)",79,80,"(D)","(D)","(D)","(D)","(D)","(D)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","35","44-45","  Retail trade",122,124,125,125,126,133,131,130,129,137,142,149,154,160
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","36","48-49","  Transportation and warehousing","(D)","(D)",37,40,40,"(D)","(D)","(D)",41,43,"(D)",37,30,26
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","37","481","   Air transportation","(D)","(D)","(D)","(D)","(D)","(D)","(D)",16,"(D)","(D)","(D)","(D)","(D)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","38","482","   Rail transportation",1,1,1,1,1,1,1,1,1,1,1,1,1,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","39","483","   Water transportation","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","40","484","   Truck transportation",13,15,16,18,17,15,15,15,13,15,16,18,15,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","41","485","   Transit and ground passenger transportation",6,5,5,5,6,5,5,5,7,7,7,7,4,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","42","486","   Pipeline transportation","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","43","487-488, 492","   Other transportation and support activities","(D)","(D)","(D)","(D)","(D)",8,6,"(D)","(D)","(D)",4,"(D)","(D)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","44","493","   Warehousing and storage","(L)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(L)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","45","51","  Information",81,107,111,125,134,142,155,167,161,155,143,130,118,111
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","46","511","   Publishing industries, except Internet (includes software)","(D)","(D)","(D)","(D)",57,"(D)",74,81,74,67,53,46,44,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","47","512","   Motion picture and sound recording industries",1,2,3,4,3,3,2,3,4,5,7,7,5,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","48","515, 517","   Broadcasting and telecommunications","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","49","518, 519","   Data processing, internet publishing, and other information services","(D)","(D)","(D)","(D)","(D)",53,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","50","52, 53","  Finance, insurance, real estate, rental, and leasing",318,339,344,321,335,363,403,405,398,370,361,381,380,362
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","51","52","   Finance and insurance",48,51,52,52,56,56,59,53,62,59,62,63,67,68
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","52","521-522","    Federal Reserve banks, credit intermediation, and related services",22,27,26,24,24,25,27,26,35,33,35,36,37,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","53","523","    Securities, commodity contracts, and investments",12,11,"(D)",7,9,"(D)","(D)","(D)","(D)",7,7,9,10,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","54","524","    Insurance carriers and related activities",15,14,19,21,23,21,24,22,20,19,19,18,19,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","55","525","    Funds, trusts, and other financial vehicles","(L)","(L)","(D)","(L)","(L)","(D)","(D)","(D)","(D)",1,1,1,1,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","56","53","   Real estate and rental and leasing",270,288,292,269,278,306,343,353,337,310,299,317,313,294
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","57","531","    Real estate",217,244,259,243,255,279,319,319,309,282,274,296,290,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","58","532-533","    Rental and leasing services and lessors of intangible assets",54,45,34,25,23,26,24,34,28,28,25,21,23,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","59","54, 55, 56","  Professional and business services",224,231,229,253,255,296,290,329,334,349,362,408,398,389
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","60","54","   Professional, scientific, and technical services",152,156,155,164,159,167,166,192,189,187,190,219,229,237
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","64","55","   Management of companies and enterprises",9,11,6,27,29,"(D)","(D)","(D)","(D)",58,"(D)","(D)",51,60
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","65","56","   Administrative and waste management services",59,60,63,59,66,"(D)","(D)","(D)","(D)",104,"(D)","(D)",118,92
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","66","561","    Administrative and support services","(D)","(D)","(D)","(D)","(D)",61,60,72,75,85,99,104,101,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","67","562","    Waste management and remediation services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",19,"(D)","(D)",17,"(NA)"
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","68","61, 62","  Educational services, health care, and social assistance",257,274,286,295,304,317,325,348,358,368,375,377,381,391
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","69","61","   Educational services",14,13,13,14,15,14,13,12,14,14,15,16,16,17
"18700","Corvallis, OR (Metropolitan Statistical Area)"," ","900","Real GDP by metropolitan area","70","62","   Health care and social assistance",244,262,273,281,289,302,313,336,344,354,360,361,365,374
